,Month,Young_rabbit,One_month_rabbit,Adult_rabbit,Total_rabbit
0,1,1,0,0,0.0
1,2,0,1,0,1.0
2,3,4,0,1,5.0
3,4,4,4,1,9.0
4,5,20,4,5,29.0
5,6,36,20,9,65.0
6,7,116,36,29,181.0
7,8,260,116,65,441.0
8,9,724,260,181,1165.0
9,10,1764,724,441,2929.0
10,11,4660,1764,1165,7589.0
11,12,11716,4660,2929,19305.0
12,13,30356,11716,7589,49661.0
13,14,77220,30356,19305,126881.0
14,15,198644,77220,49661,325525.0
15,16,507524,198644,126881,833049.0
16,17,1302100,507524,325525,2135149.0
17,18,3332196,1302100,833049,5467345.0
18,19,8540596,3332196,2135149,14007941.0
19,20,21869380,8540596,5467345,35877321.0
20,21,56031764,21869380,14007941,91909085.0
21,22,143509284,56031764,35877321,235418369.0
22,23,367636340,143509284,91909085,603054709.0
23,24,941673476,367636340,235418369,1544728185.0
24,25,2412218836,941673476,603054709,3956947021.0
25,26,6178912740,2412218836,1544728185,10135859761.0
26,27,15827788084,6178912740,3956947021,25963647845.0
27,28,40543439044,15827788084,10135859761,66507086889.0
28,29,103854591380,40543439044,25963647845,170361678269.0
29,30,266028347556,103854591380,66507086889,436390025825.0
30,31,681446713076,266028347556,170361678269,1117836738901.0
31,32,1745560103300,681446713076,436390025825,2863396842201.0
